TARGETID,Z,LOGMSTAR,HALPHA_FLUX,HALPHA_BD
39628370836722086,0.3291067194,10.161348,60.806351,3.7787561
39627889599055861,0.07235002331,8.3073463,121.11772,3.1678793
39628064035966534,0.02697845907,6.692843,1177.2867,2.8599999
39632976123791598,0.2861510953,10.217876,86.610657,4.1342459
39633223776471220,0.1537917744,9.7993164,131.66585,4.103261
39627770271108898,0.08901481385,9.2823038,117.61245,3.1929789
39627790105976850,0.2945788758,10.204951,53.681847,3.3106303
39628407478159750,0.1788388007,9.417243,50.475845,3.5384572
39627752063632622,0.2862963631,9.7976389,82.975586,3.3387482
39628251642993892,0.08835146335,9.3993483,160.20264,3.3051794
39628190267736917,0.1430618421,9.5849791,112.72315,4.6068625
39627749282809324,0.1849045248,10.130716,269.55518,4.3577561
39633009380430285,0.2314312462,9.7748775,56.957104,3.8461847
39628417863257168,0.1988560286,9.9379969,75.109154,3.5198624
39628506979635716,0.0543419526,9.0177202,119.30739,3.4041882
39636443139672375,0.4302198907,10.750733,103.67486,4.0749974
39628151311044879,0.06603415854,9.0456438,53.457649,3.1570837
39627695218233771,0.07510819621,10.201619,135.43234,3.1723223
39627609444715323,0.1939517342,10.237504,276.38004,4.5260491
39627856396945077,0.1012360527,9.1034288,69.241905,5.0000529
39627380133732534,0.09635624135,9.1601839,144.83099,3.4375384
39627788952541581,0.08899406696,8.3074541,64.610641,3.4380848
39628471135109208,0.4495680539,10.347053,66.60067,4.1998048
39627673848253974,0.1185063694,9.4515076,90.316902,3.0705476
39627707029394933,0.05010137243,8.9277372,111.22681,3.4684057
39628488717635347,0.03518884606,7.9811187,387.8894,3.001147
39627588590636694,0.1677435911,9.3108473,70.759491,2.8599999
39632959950554942,0.1526199636,9.1592398,40.064632,4.2872176
39627709013299018,0.2027085649,10.614101,73.067528,4.2040749
39633072643115530,0.2120122553,10.391111,88.037117,6.1702747
39633196832261970,0.3198595551,10.083731,54.101685,3.0604553
39627847404358721,0.1220313466,9.3139296,73.268089,3.2919691
39627637370391121,0.2929053715,10.36608,42.870937,4.9165654
39627973631936878,0.05444576707,8.2682343,75.577904,3.683006
39627914773269257,0.04675445835,8.6025906,95.294067,2.8599999
39627817767403932,0.129413742,9.3843098,109.26486,3.1166108
39628253031303653,0.0882403634,9.1134987,107.03131,2.8599999
39627808703517285,0.08608682065,10.682441,98.670929,4.9415698
39628252716728810,0.3463203138,10.151795,87.558517,3.9740031
39633087188964440,0.08000578601,9.2156334,53.235779,3.7282224
39633171368643593,0.08426011401,9.5956917,115.02128,3.9932446
39628028711535674,0.08241595138,9.3886375,100.73292,3.5932777
39627836474003029,0.2584694912,9.9946947,129.60947,4.6591587
39627927351988515,0.03546058727,8.1515512,832.55121,2.8599999
39628101646289409,0.05913498183,9.7917128,231.78273,4.4832144
39633334875195657,0.4218142693,10.431643,49.862419,3.8293116
39627751027640490,0.09541448404,9.0999651,41.684715,2.8599999
39627485549168156,0.2348365839,10.000978,112.89155,4.3300214
39633220504912939,0.05706631938,9.4737768,85.690346,3.3332562
39633338234832568,0.03619787811,8.6154671,36.329826,2.8599999
39632981094041030,0.03825886907,9.2554646,59.543247,3.6026406
39627772150160469,0.08486333973,10.376489,593.51172,4.9371142
39628059187352744,0.2326127279,9.7785997,41.284512,2.9572811
39633437971188007,0.09515867046,8.6024485,42.35154,2.8599999
39627624380633603,0.1930710976,9.620492,52.320351,3.6818051
39628099196813956,0.2687902987,10.560466,106.14758,4.8357196
39628204801001923,0.04208563888,8.8180981,162.04378,2.8599999
39628528290890769,0.1693546232,9.4939356,173.82175,3.3500462
39627718626644213,0.2561970801,9.8840208,289.08911,3.4885261
39633486067273204,0.08736525773,8.8748274,69.505524,4.997498
39632976010545601,0.1319108986,10.356611,131.76471,4.078887
39628510951643130,0.2056536957,9.6399097,78.823029,3.7647173
39628072466517737,0.1330746585,10.319247,184.45201,6.3623276
39627818975363855,0.09475420313,9.2201805,54.949432,2.8599999
